2020-10-25 15:25:03,b'What you all wanna steal from each other??\xf0\x9f\x98\x81\xf0\x9f\x98\x81 @ndtv #BTSonNDTV #BTSARMY #bts'
2020-10-25 15:25:02,b'RT @ndtv: #Watch | 2020 festive season gives much-needed hope of recovery to the #autoindustry amidst an ongoing 2-year slump https://t.co/\xe2\x80\xa6'
2020-10-25 15:24:55,"b""RT @ndtv: Team #BTSARMY - Jin, Suga, J-Hope, RM, Jimin, V and Jungkook chatted with NDTV's @rohitkhilnani about music and more!\n\nWatch the\xe2\x80\xa6"""
2020-10-25 15:24:53,"b""RT @Kiran37641070: #afcat_transparency\nMake everything transparent, don't leave any loopholes\n@IAF_MCC @cdacindia @RahulGandhi @priyankagan\xe2\x80\xa6"""
2020-10-25 15:24:51,"b'RT @ndtv: #Watch | ""We haven\'t received our salary on time in 2 years"": Doctors of the Resident Doctors Association on why they have gone o\xe2\x80\xa6'"
2020-10-25 15:24:51,b'RT @222amaan: @ndtv What a difference \xf0\x9f\x98\x81\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x92\xa3\xf0\x9f\x92\xa3\xf0\x9f\x97\xaf\xef\xb8\x8f islaam https://t.co/SBC6XI5HnR'
2020-10-25 15:24:47,b'RT @Yogendr83051848: Many defence aspirants hark work will go in vain. And we will not let it happen. We want re evaluation in the AFCAT 2\xe2\x80\xa6'
2020-10-25 15:24:45,"b'@ndtv wow..what a +ve news to end the day with...""Education is the most powerful weapon which you can use to change\xe2\x80\xa6 https://t.co/QnNrIyMUz8'"
2020-10-25 15:24:42,b'Many defence aspirants hark work will go in vain. And we will not let it happen. We want re evaluation in the AFCAT\xe2\x80\xa6 https://t.co/7eck9pdmMT'
2020-10-25 15:24:37,b'RT @Sahwazk70070000: #afcat22020answersheet \n@IAF_MCC\n and \n@cdacindia\n . Hope you are looking into the error in the results of AFCAT 2 202\xe2\x80\xa6'
2020-10-25 15:24:31,"b'RT @Kiran37641070: #afcat_transparency\nMedia please bring this issue into light, students has been asking this since last few days\n@aajtak\xe2\x80\xa6'"
2020-10-25 15:24:31,b'@dtptraffic @DelhiPolice @ndtv @aajtak @republic @redmanrishabh 25/10/2020. Day 2 and still no action has been take\xe2\x80\xa6 https://t.co/RsMswJgQoB'
2020-10-25 15:24:27,b'RT @ChitraRinait: Ab Afcat aspirant ke sath bhi yahi dekhna baki hai kya\nWe want transparency in AFCAT and re evaluation.\n@PMOIndia @rajnat\xe2\x80\xa6'
2020-10-25 15:24:19,"b""RT @ndtv: Scrap Dealer's Son Clears Medical Entrance Test In Ninth Attempt https://t.co/pXQ3KhIro4 https://t.co/WoPM7DhL87"""
2020-10-25 15:24:18,b'RT @SachinS29808398: Please give us our money  #JusticeForSaharaIndiaInvestors @The Lallantop @PMOIndia @sudhirchaudhary @ndtv'
2020-10-25 15:24:08,"b""RT @Achal44754247: It's so easy for them to tell that there is no error in the results, only we know how much hardwork it takes for the asp\xe2\x80\xa6"""
2020-10-25 15:24:05,"b'RT @Kiran37641070: #afcat_transparency\nAccept your mistake and rectify it @cdacindia \nPlease @IAF_MCC help candidates, we are the future of\xe2\x80\xa6'"
2020-10-25 15:23:56,"b""RT @ChitraRinait: We want Transparency\nWe want justice for our result\nPlease help us don't ignore us\n@PMOIndia @rajnathsingh @SrBachchan @A\xe2\x80\xa6"""
2020-10-25 15:23:54,"b""@ndtv Hey guys just a suggestion in the captions running thru out the day why don't you guys put out covid figures\xe2\x80\xa6 https://t.co/dOktJoIpFw"""
2020-10-25 15:23:37,"b""RT @ndtv: Scrap Dealer's Son Clears Medical Entrance Test In Ninth Attempt https://t.co/pXQ3KhIro4 https://t.co/WoPM7DhL87"""
2020-10-25 15:23:36,"b""RT @Achal44754247: It's so easy for them to tell that there is no error in the results, only we know how much hardwork it takes for the asp\xe2\x80\xa6"""
2020-10-25 15:23:35,"b'RT @Kiran37641070: #afcat_transparency\nAccept your mistake and rectify it @cdacindia \nPlease @IAF_MCC help candidates, we are the future of\xe2\x80\xa6'"
2020-10-25 15:23:31,"b""RT @Kiran37641070: #afcat_transparency\nMake everything transparent, don't leave any loopholes\n@IAF_MCC @cdacindia @RahulGandhi @priyankagan\xe2\x80\xa6"""
2020-10-25 15:23:29,"b'RT @ndtv: ""PM Has Decided When There Will Be War With China, Pak"": UP BJP Chief https://t.co/tTOUKYE3Zh https://t.co/ITVAwwqaQm'"
2020-10-25 15:23:27,"b'RT @ndtv: #Watch | ""We used the green crackers which don\'t emit smoke"": Ram Leela Maidan\'s organizers on bursting firecrackers in a time of\xe2\x80\xa6'"
